index,datetime,occupants_t,hour,minute,day_of_week,is_weekend,is_working_hour,occupants_t,occupants_t_minus_30min,occupants_t_minus_1h,occupants_t_minus_1.5h,occupants_t_minus_2h
12,2006-01-01 02:00:00,13.11270051648448,2,0,6,1,0,13.11270051648448,13.145006993654404,13.168999424656011,13.184133580226856,13.19006135107928
13,2006-01-01 02:10:00,13.100204367330072,2,10,6,1,0,13.100204367330072,13.135129719554822,13.16196322568474,13.180098778127643,13.189121429613657
14,2006-01-01 02:20:00,13.086894297231904,2,20,6,1,0,13.086894297231904,13.124351934454117,13.15395900590912,13.175049748516535,13.187143747700652
15,2006-01-01 02:30:00,13.072802898498878,2,30,6,1,0,13.072802898498878,13.11270051648448,13.145006993654404,13.168999424656011,13.184133580226856
16,2006-01-01 02:40:00,13.05796440731548,2,40,6,1,0,13.05796440731548,13.100204367330072,13.135129719554822,13.16196322568474,13.180098778127643
17,2006-01-01 02:50:00,13.042414553568412,2,50,6,1,0,13.042414553568412,13.086894297231904,13.124351934454117,13.15395900590912,13.175049748516535
18,2006-01-01 03:00:00,13.026190398268994,3,0,6,1,0,13.026190398268994,13.072802898498878,13.11270051648448,13.145006993654404,13.168999424656011
19,2006-01-01 03:10:00,13.00933015795044,3,10,6,1,0,13.00933015795044,13.05796440731548,13.100204367330072,13.135129719554822,13.16196322568474
20,2006-01-01 03:20:00,12.991873015250375,3,20,6,1,0,12.991873015250375,13.042414553568412,13.086894297231904,13.124351934454117,13.15395900590912
21,2006-01-01 03:30:00,12.973858914777768,3,30,6,1,0,12.973858914777768,13.026190398268994,13.072802898498878,13.11270051648448,13.145006993654404
22,2006-01-01 03:40:00,12.95532834350281,3,40,6,1,0,12.95532834350281,13.00933015795044,13.05796440731548,13.100204367330072,13.135129719554822
23,2006-01-01 03:50:00,12.936322094976646,3,50,6,1,0,12.936322094976646,12.991873015250375,13.042414553568412,13.086894297231904,13.124351934454117
24,2006-01-01 04:00:00,12.916881016508082,4,0,6,1,0,12.916881016508082,12.973858914777768,13.026190398268994,13.072802898498878,13.11270051648448
25,2006-01-01 04:10:00,12.897045738396628,4,10,6,1,0,12.897045738396628,12.95532834350281,13.00933015795044,13.05796440731548,13.100204367330072
26,2006-01-01 04:20:00,12.87685638427902,4,20,6,1,0,12.87685638427902,12.936322094976646,12.991873015250375,13.042414553568412,13.086894297231904
